NSDL Scheme Code,Scheme Name,TER Date (Change),Old Regular Plan - Base TER (%),New Regular Plan - Base TER (%),Regular Plan - TER Reduction (%),Old Direct Plan - Base TER (%),New Direct Plan - Base TER (%),Direct Plan - TER Reduction (%),Difference (Direct - Regular) TER Reduction (%)
HDFC/O/E/FOC/04/06/0012,HDFC Focused Fund,2026-02-01,1.48,1.47,0.01,0.49,0.5,-0.01,-0.02
HDFC/O/E/LCF/96/10/0004,HDFC Large Cap Fund,2026-02-01,1.4,1.39,0.01,0.8,0.79,0.01,0.0
HDFC/O/E/LMF/94/02/0001,HDFC Large and Mid Cap Fund,2026-02-01,1.47,1.46,0.01,0.68,0.67,0.01,0.0
HDFC/O/E/MIF/07/04/0015,HDFC Mid Cap Fund,2026-02-01,1.21,1.2,0.01,0.59,0.58,0.01,0.0
HDFC/O/E/SCF/07/03/0014,HDFC Small Cap Fund,2026-02-01,1.42,1.4,0.02,0.55,0.53,0.02,0.0
HDFC/O/E/SEC/21/02/0076,HDFC Banking & Financial Services Fund,2026-02-01,1.74,1.73,0.01,0.64,0.63,0.01,0.0
HDFC/O/E/SEC/23/01/0123,HDFC Defence Fund,2026-02-01,1.65,1.64,0.01,0.66,0.65,0.01,0.0
HDFC/O/E/SEC/23/02/0128,HDFC Technology Fund,2026-02-01,1.94,1.95,-0.01,0.74,0.75,-0.01,0.0
HDFC/O/E/SEC/23/03/0129,HDFC Pharma and Healthcare Fund,2026-02-01,1.92,1.91,0.01,0.76,0.75,0.01,0.0
HDFC/O/E/THE/08/01/0018,HDFC Infrastructure Fund,2026-02-01,1.86,1.85,0.01,0.94,0.93,0.01,0.0
HDFC/O/E/THE/17/09/0029,HDFC Housing Opportunities Fund,2026-02-01,2.0,1.99,0.01,1.0,0.95,0.05,0.04
HDFC/O/E/THE/22/08/0114,HDFC MNC Fund,2026-02-01,2.22,2.23,-0.01,1.03,1.04,-0.01,0.0
