NSDL Scheme Code,Scheme Name,Old Direct Plan - Base TER (%),New Direct Plan - Base TER (%),TER Date (Change),TER Reduction (%)
HDFC/O/E/DYF/20/08/0075,HDFC Dividend Yield Fund,0.56,0.55,2026-02-01,0.01
HDFC/O/E/FCF/94/12/0002,HDFC Flexi Cap Fund,0.52,0.54,2026-02-01,-0.02
HDFC/O/E/FOC/04/06/0012,HDFC Focused Fund,0.49,0.5,2026-02-01,-0.01
HDFC/O/E/LCF/96/10/0004,HDFC Large Cap Fund,0.8,0.79,2026-02-01,0.01
HDFC/O/E/LMF/94/02/0001,HDFC Large and Mid Cap Fund,0.68,0.67,2026-02-01,0.01
HDFC/O/E/MIF/07/04/0015,HDFC Mid Cap Fund,0.59,0.58,2026-02-01,0.01
HDFC/O/E/SCF/07/03/0014,HDFC Small Cap Fund,0.55,0.53,2026-02-01,0.02
HDFC/O/E/SEC/21/02/0076,HDFC Banking & Financial Services Fund,0.64,0.63,2026-02-01,0.01
HDFC/O/E/SEC/23/01/0123,HDFC Defence Fund,0.66,0.65,2026-02-01,0.01
HDFC/O/E/SEC/23/02/0128,HDFC Technology Fund,0.74,0.75,2026-02-01,-0.01
HDFC/O/E/SEC/23/03/0129,HDFC Pharma and Healthcare Fund,0.76,0.75,2026-02-01,0.01
HDFC/O/E/THE/08/01/0018,HDFC Infrastructure Fund,0.94,0.93,2026-02-01,0.01
HDFC/O/E/THE/17/09/0029,HDFC Housing Opportunities Fund,1.0,0.95,2026-02-01,0.05
HDFC/O/E/THE/22/08/0114,HDFC MNC Fund,1.03,1.04,2026-02-01,-0.01
HDFC/O/E/THE/23/02/0126,HDFC Transportation and Logistics Fund,0.78,0.77,2026-02-01,0.01
